,Condition,State,City,Price,Currency,ITEM_CONDITION,LENGTH,PASSENGER_CAPACITY,POWER,TRACTION_CONTROL,HAS_AIR_CONDITIONING,ENGINE_DISPLACEMENT,BRAND,DOORS,ENGINE,FUEL_TYPE,KILOMETERS,MODEL,TRANSMISSION,TRIM,VEHICLE_YEAR,SINGLE_OWNER,ENGINE_MANUFACTURER,MOTO_TYPE,CYLINDERS,LOADING_CAPACITY,HOURS_OF_USE,FORKLIFT_TYPE,HAS_POWER_TRIM,ENGINE_QUANTITY,BEAM,OPERATING_WEIGHT,LINE,WEIGHT,DRAFT,INTERNAL_DIAMETER,MAX_POWER
MLM805152052,used,Hidalgo,Pachuca De Soto,329000.0,MXN,Usado,4923 mm,5,185 hp,Trasera,Sí,1991 cc,Mercedes-Benz,4,2.0,Gasolina,43145 km,Clase E,Automática,2.0 200 Cgi Avantgarde At,2016,,,,,,,,,,,,,,,,
MLM804194237,used,Hidalgo,Pachuca De Soto,295000.0,MXN,Usado,4432 mm,2,184 hp,Trasera,Sí,1997 cc,BMW,2,2.0,Gasolina,78000 km,Serie 2,Automática,2.0 220ia Sport Line At,2016,No,,,,,,,,,,,,,,,
MLM810635258,used,Hidalgo,Pachuca De Soto,189000.0,MXN,Usado,,,,,,650 cc,Can-Am,,,,1350 km,Outlander,,,2018,,can -am,Cuatrimotos,,,,,,,,,,,,,
MLM805511847,used,Hidalgo,Pachuca De Soto,259000.0,MXN,Usado,,5,,4x4,Sí,3.6 L,Porsche,5,3.6,Gasolina,99500 km,Cayenne,Automática,3.6 V6 Tiptronic At,2008,,,,,,,,,,,,,,,,
MLM796882323,used,Puebla,Puebla,349900.0,MXN,Usado,4834 mm,5,,4x4,Sí,3.6 L,Cadillac,5,3.6,Gasolina,42000 km,SRX,Automática,3.6 Premium At,2016,,,,,,,,,,,,,,,,
MLM808635527,used,Hidalgo,Pachuca De Soto,159000.0,MXN,Usado,,5,,4x2,Sí,5.4 L,Ford,5,5.4,Gasolina,145000 km,Expedition,Automática,5.4 Limited Piel V8 4x2 At,2007,No,,,,,,,,,,,,,,,
MLM805172494,used,Puebla,Puebla,139900.0,MXN,Usado,4581 mm,5,,Delantera,Sí,1.8 L,Mercedes-Benz,4,1.8,Gasolina,86000 km,Clase C,Manual,1.8 180 Cgi Mt,2011,,,,,,,,,,,,,,,,
MLM800122292,used,Jalisco,Zapopan,81500.0,MXN,Usado,,,,,,,Ford,2,,Gasolina,123000 km,Ranger,,6cil standar aire,1994,,,,,,,,,,,,,,,,
MLM799243313,used,Hidalgo,Pachuca De Soto,182000.0,MXN,Usado,,5,,4x4,Sí,3 L,BMW,5,3.0,Gasolina,149213 km,X5,Automática,3.0 Sia At,2009,,,,,,,,,,,,,,,,
MLM804608859,used,Hidalgo,Pachuca De Soto,399000.0,MXN,Usado,5210 mm,5,381 hp,Trasera,Sí,5663 cc,Toyota,5,5.7,Gasolina,66035 km,Sequoia,Automática,5.7 Platinum At,2016,,,,,,,,,,,,,,,,
MLM805862900,used,Puebla,Puebla,219900.0,MXN,Usado,,5,,4x2,Sí,4 L,Ford,5,4.0,Gasolina,72000 km,Explorer,Manual,Limited V6 Sync 4x2 Mt,2011,,,,,,,,,,,,,,,,
MLM805839988,used,Hidalgo,Pachuca De Soto,349000.0,MXN,Usado,,5,,4x2,Sí,3.6 L,Dodge,5,3.6,Gasolina,41023 km,Durango,Automática,3.6 Limited V6 At,2015,,,,,,,,,,,,,,,,
MLM802054117,used,Puebla,Puebla,209900.0,MXN,Usado,4055 mm,,,Delantera,Sí,1.4 L,SEAT,2,1.4,Gasolina,50000 km,Ibiza,Manual,1.4 Cupra Mt Coupe,2015,,,,4,,,,,,,,,,,,
MLM789338188,used,Jalisco,Zapopan,79500.0,MXN,Usado,,,,,,1600 cc,Kawasaki,,,,62000 km,Vulcan 1600,,,2006,,,Chopper,,,,,,,,,,,,,
MLM798412864,used,Puebla,Puebla,159900.0,MXN,Usado,,5,,4x4,Sí,5.3 L,Chevrolet,5,5.3,Gasolina,80000 km,Suburban,Automática,D Piel Aa Dvd Qc 4x4 At,2007,,,,,,,,,,,,,,,,
MLM804715732,used,Hidalgo,Pachuca De Soto,239000.0,MXN,Usado,5151 mm,5,,Delantera,Sí,3.6 L,Chrysler,5,3.6,Gasolina,63000 km,Town & Country,Manual,3.6 Limited Mt,2016,,,,,,,,,,,,,,,,
MLM806938103,used,Puebla,Puebla,185000.0,MXN,Usado,,,,,,,Volkswagen,4,,Gasolina,70000 km,Passat,,Cc At 2013,2013,,,,,,,,,,,,,,,,
MLM804621399,used,Hidalgo,Pachuca De Soto,449000.0,MXN,Usado,4989 mm,5,265 hp,4x4,Sí,3498 cc,Infiniti,5,3.5,Gasolina,45200 km,QX60,Automática,3.5 Perfection Plus Cvt,2017,,,,,,,,,,,,,,,,
MLM803311877,used,Jalisco,Zapopan,82500.0,MXN,Usado,3931 mm,5,93 hp,Delantera,,1.6 L,Volkswagen,2,1.6,Gasolina,138000 km,Pointer Pick-Up,Manual,1.6 Crossover Mt,2009,,,,,,,,,,,,,,,,
MLM807926153,used,Hidalgo,Pachuca De Soto,179000.0,MXN,Usado,4636 mm,5,129 hp,Delantera,Sí,1798 cc,Nissan,4,1.8,Gasolina,35269 km,Sentra,Automática,1.8 Advance Cvt,2017,,,,,,,,,,,,,,,,
MLM796029336,used,Hidalgo,Pachuca De Soto,199000.0,MXN,Usado,4410 mm,5,107 hp,Delantera,Sí,1497 cc,Toyota,4,1.5,Gasolina,44000 km,Yaris,Automática,1.5 Core At Sedan Cvt,2018,,,,,,,,,,,,,,,,
MLM790453191,used,Puebla,Puebla,195000.0,MXN,Usado,,,,4x4,,5.4 L,Lincoln,5,,Gasolina,78000 km,Navigator,Automática,Vagoneta Ultime Qc Lujo 4x4 At,2008,,,,,,,,,,,,,,,,
MLM806224886,used,Distrito Federal,Coyoacán,1150000.0,MXN,Usado,4671 mm,2,431 hp,Trasera,Sí,2979 cc,BMW,2,3.0,Gasolina,8000 km,Serie M,Automática,3.0 M4 Coupe At,2018,Sí,,,,,,,,,,,,,,,
MLM792704087,used,Puebla,Puebla,265000.0,MXN,Usado,4294 mm,5,141 hp,Delantera,Sí,1799 cc,Honda,5,1.8,Gasolina,20000 km,HR-V,Automática,1.8 Epic At Cvt,2017,,,,,,,,,,,,,,,,
MLM792708012,used,Puebla,Puebla,279900.0,MXN,Usado,,,,,,,GMC,5,,Gasolina,42000 km,Yukon,,Denali 2013 At,2013,,,,,,,,,,,,,,,,
MLM805863054,used,Puebla,Puebla,165000.0,MXN,Usado,4799 mm,5,210 hp,Delantera,,2 L,Volkswagen,4,2.0,Gasolina,71000 km,CC,Automática,2.0 Turbo Dsg Piel Qc At,2010,,,,,,,,,,,,,,,,
MLM793711055,used,Puebla,Puebla,229900.0,MXN,Usado,,5,,Delantera,Sí,2 L,Ford,5,2.0,Gasolina,42000 km,Focus,Automática,2.0 St L4 T At,2014,,,,,,,,,,,,,,,,
MLM801992398,used,Puebla,Puebla,215000.0,MXN,Usado,4460 mm,5,,Delantera,Sí,2.5 L,Mazda,5,2.5,Gasolina,47000 km,Mazda 3,Manual,2.5 S Sport Hatchback Mt,2016,,,,,,,,,,,,,,,,
MLM792137361,used,Puebla,Puebla,325000.0,MXN,Usado,4275 mm,5,148 hp,Delantera,Sí,1998 cc,Mazda,5,2.0,Gasolina,8000 km,CX-3,Automática,2.0 I Sport 2wd At,2019,,,,,,,,,,,,,,,,
MLM808318328,used,Puebla,Puebla,119900.0,MXN,Usado,5372 mm,2,,4x2,Sí,4.6 L,Ford,2,4.6,Gasolina,90000 km,Lobo,Manual,4.6 Xlt Cabina Regular 4x2 Mt,2005,,,,,,,,,,,,,,,,
MLM777231126,used,Puebla,Puebla,265000.0,MXN,Usado,,,,Delantera,,1799 cc,Honda,5,,Gasolina,28000 km,HR-V,Automática,1.8 Epic At Cvt,2017,,,,,,,,,,,,,,,,
MLM769383880,used,Puebla,Puebla,145000.0,MXN,Usado,,,,Delantera,,2 L,Renault,4,,Gasolina,72000 km,Fluence,Manual,2.0 Privilege Mt,2012,,,,,,,,,,,,,,,,
MLM790863628,used,Puebla,Puebla,239900.0,MXN,Usado,,,,4x2,,2.5 L,Mazda,5,,Gasolina,72000 km,CX-5,Manual,2.5 S Grand Touring 4x2 Mt,2014,,,,,,,,,,,,,,,,
MLM769171694,used,Puebla,Puebla,245000.0,MXN,Usado,4365 mm,5,163 hp,Delantera,Sí,1598 cc,Peugeot,5,1.6,Gasolina,42000 km,3008,Automática,1.6 Féline At,2016,,,,,,,,,,,,,,,,
MLM803018936,used,Distrito Federal,Tlalpan,109900.0,MXN,Usado,,5,,Delantera,Sí,2.4 L,Toyota,5,2.4,Gasolina,135000 km,Matrix,Automática,2.4 Xr Qc F Niebla Aleron Tras At,2009,,,,,,,,,,,,,,,,
MLM807905623,used,Puebla,Puebla,189900.0,MXN,Usado,,5,,Delantera,Sí,2.4 L,Dodge,5,2.4,Gasolina,57000 km,Journey,Automática,2.4 Se L4 5pas At,2015,,,,,,,,,,,,,,,,
MLM792143447,used,Jalisco,Zapopan,119500.0,MXN,Usado,,5,,4x2,Sí,4.7 L,Jeep,5,4.7,Gasolina,172000 km,Grand Cherokee,Automática,Limited V8 4x2 At,2005,,,,,,,,,,,,,,,,
MLM809425056,used,Distrito Federal,Coyoacán,239900.0,MXN,Usado,4294 mm,5,141 hp,Delantera,Sí,1799 cc,Honda,5,1.8,Gasolina,42000 km,HR-V,Automática,1.8 Epic At Cvt,2016,Sí,,,,,,,,,,,,,,,
MLM812927492,used,Hidalgo,Pachuca De Soto,695000.0,MXN,Usado,5829 mm,2,420 hp,4x4,Sí,6162 cc,GMC,2,6.2,Gasolina,23000 km,Sierra,Automática,6.2 Denali Dvd At,2017,,,,,,,,,,,,,,,,
MLM808610756,used,Hidalgo,Pachuca De Soto,295000.0,MXN,Usado,4460 mm,5,188 hp,Delantera,Sí,2488 cc,Mazda,5,2.5,Gasolina,21000 km,Mazda 3,Automática,2.5 S Grand Touring Hchback At,2018,,,,,,,,,,,,,,,,
MLM777241970,used,Puebla,Puebla,145000.0,MXN,Usado,4397 mm,4,115 hp,Delantera,Sí,1600 cc,Chevrolet,4,1.6,Gasolina,40000 km,Sonic,Manual,1.6 Ls Mt,2016,,,,,,,,,,,,,,,,
MLM771447548,used,Puebla,Puebla,299900.0,MXN,Usado,,,,,,,Suzuki,4,,Gasolina,35000 km,Vitara,,Boosterjet At 2018,2018,,,,,,,,,,,,,,,,
MLM802011041,used,Puebla,Puebla,139900.0,MXN,Usado,4652 mm,5,115 hp,Delantera,,2 L,Volkswagen,4,2.0,Gasolina,42000 km,Jetta Clásico,Manual,2.0 Cl Mt,2015,,,,,,,,,,,,,,,,
MLM802442475,used,Puebla,Puebla,279900.0,MXN,Usado,5258 mm,,158 hp,Trasera,Sí,2488 cc,Nissan,4,2.5,Gasolina,48000 km,NP300,Manual,2.4 Doble Cabina Se Aa Pack Seg Mt,2018,,,,,,,,,,,,,,,,
MLM780676279,used,Puebla,Puebla,135000.0,MXN,Usado,,,,Delantera,,1.8 L,Chevrolet,4,,Gasolina,89000 km,Cruze,Manual,1.8 Ls Mt,2014,,,,,,,,,,,,,,,,
MLM803039109,used,Puebla,Puebla,125000.0,MXN,Usado,4652 mm,5,200 hp,Delantera,,2 L,Volkswagen,4,2.0,Gasolina,76000 km,Jetta Clásico,Manual,2.0 Gl Team 5vel Mt,2012,,,,,,,,,,,,,,,,
MLM775330390,used,Puebla,Puebla,225000.0,MXN,Usado,,,,Delantera,,1598 cc,Volkswagen,5,,Gasolina,30000 km,Caddy,Manual,1.6 Pasajeros Mt,2016,,,,,,,,,,,,,,,,
MLM808171138,used,Puebla,Puebla,135000.0,MXN,Usado,4652 mm,5,170 hp,Delantera,,2.5 L,Volkswagen,4,2.5,Gasolina,72000 km,Jetta,Automática,2.5 Sport Qc At,2011,,,,,,,,,,,,,,,,
MLM800132258,used,Hidalgo,Pachuca De Soto,349000.0,MXN,Usado,4726 mm,4,190 hp,Delantera,Sí,1984 cc,Audi,4,2.0,Gasolina,45000 km,A4,Automática,2.0 T S Line 190hp Dsg,2017,,,,,,,,,,,,,,,,
MLM789602901,used,Jalisco,Zapopan,179500.0,MXN,Usado,3495 mm,5,71 hp,Trasera,Sí,999 cc,Smart,5,1.0,Gasolina,48000 km,Forfour,Manual,1.0 Prime Mt,2016,,,,,,,,,,,,,,,,
MLM771441798,used,Puebla,Puebla,345000.0,MXN,Usado,,,,4x4,,3488 cc,Nissan,5,,Gasolina,50000 km,Pathfinder,Automática,3.5 Exclusive 4x4 Cvt,2016,,,,,,,,,,,,,,,,
MLM801582503,used,Puebla,Puebla,289900.0,MXN,Usado,,4,278 hp,Delantera,Sí,3.5 L,Honda,4,3.5,Gasolina,43000 km,Accord,Manual,3.5 Exl V6 Navi Mt,2016,,,,,,,,,,,,,,,,
MLM769182417,used,Puebla,Puebla,349900.0,MXN,Usado,5008 mm,5,260 hp,4x4,Sí,3488 cc,Nissan,5,3.5,Gasolina,50000 km,Pathfinder,Automática,3.5 Exclusive 4x4 Cvt,2016,,,,,,,,,,,,,,,,
MLM804605244,used,Hidalgo,Pachuca De Soto,445000.0,MXN,Usado,4672 mm,4,240 hp,Trasera,Sí,1999 cc,Jaguar,4,2.0,Gasolina,52300 km,XE,Automática,2.0 Pure At,2016,,,,,,,,,,,,,,,,
MLM812358725,used,Distrito Federal,Coyoacán,244900.0,MXN,Usado,4281 mm,5,150 hp,Delantera,Sí,1395 cc,SEAT,5,1.4,Gasolina,28000 km,Leon,Automática,1.4 Fr T 150 Hp Dsg,2016,Sí,,,,,,,,,,,,,,,
MLM806671334,used,Puebla,Puebla,135000.0,MXN,Usado,4917 mm,,,Delantera,Sí,3.5 L,Mercedes-Benz,2,3.5,Gasolina,100000 km,Clase CLS,Manual,3.5 350 Mt,2008,,,,,,,,,,,,,,,,
MLM796529617,used,Puebla,Puebla,179900.0,MXN,Usado,4532 mm,4,110 hp,Delantera,Sí,1598 cc,Dodge,4,1.6,Gasolina,46000 km,Neon,Automática,1.6 Sxt At,2017,,,,,,,,,,,,,,,,
MLM812992589,used,Puebla,Puebla,99900.0,MXN,Usado,4652 mm,5,200 hp,Delantera,,2 L,Volkswagen,4,2.0,Gasolina,90000 km,Jetta Clásico,Automática,2.0 Trendline Tipronic At,2010,,,,,,,,,,,,,,,,
MLM776128577,used,Puebla,Puebla,149900.0,MXN,Usado,,,,,,,Chrysler,5,,Gasolina,65000 km,Town & Country,,Lx 2012 At,2012,,,,,,,,,,,,,,,,
MLM786362198,used,Hidalgo,Pachuca De Soto,499000.0,MXN,Usado,4671 mm,5,354 hp,4x4,Sí,2995 cc,Audi,5,3.0,Gasolina,71000 km,Q5,Automática,3.0 Sq5 T 354 Hp At,2016,,,,,,,,,,,,,,,,
MLM809503368,used,Puebla,Puebla,149900.0,MXN,Usado,,,,,,,Chevrolet,3,,Gasolina,100000 km,400Ss,,At 1993,1993,,,,,,,,,,,,,,,,
MLM790863061,used,Puebla,Puebla,249900.0,MXN,Usado,,,,,,,Peugeot,5,,Diésel,90000 km,Manager,,Pasajeros Mt 2015,2015,,,,,,,,,,,,,,,,
MLM811241826,used,Puebla,Puebla,99900.0,MXN,Usado,,,,,,310 cc,BMW,,,,23000 km,Gs310 2018,,,2018,,.,Bmw,,,,,,,,,,,,,
MLM806602100,used,Puebla,Puebla,209900.0,MXN,Usado,4888 mm,5,,Delantera,Sí,2.4 L,Dodge,5,2.4,Gasolina,50000 km,Journey,Manual,2.4 Se Mt,2015,,,,,,,,,,,,,,,,
MLM806330589,used,Distrito Federal,Coyoacán,779900.0,MXN,Usado,4671 mm,2,431 hp,Trasera,Sí,2979 cc,BMW,2,3.0,Gasolina,23000 km,Serie M,Automática,3.0 M4 Coupe At,2016,Sí,,,,,,,,,,,,,,,
MLM803013003,used,Distrito Federal,Tlalpan,137900.0,MXN,Usado,4239 mm,5,,Trasera,Sí,2 L,BMW,5,2.0,Gasolina,117000 km,Serie 1,Automática,2.0 5p 120ia M Sport At,2009,,,,,,,,,,,,,,,,
MLM807706225,used,Puebla,Puebla,159900.0,MXN,Usado,,,,,,,Renault,4,,Gasolina,58000 km,Safrane,,Premium At 2014,2014,,,,,,,,,,,,,,,,
MLM790062705,used,Jalisco,Zapopan,289500.0,MXN,Usado,4695 mm,5,,4x4,Sí,3.5 L,Mitsubishi,5,3.5,Gasolina,92000 km,Montero,Manual,3.5 Sun & Sound 4x4 Mt,2014,,,,,,,,,,,,,,,,
MLM800119758,used,Jalisco,Zapopan,199500.0,MXN,Usado,,,,,,,Ford,2,,Gasolina,89000 km,F-150,,6cil automática,2011,,,,,,,,,,,,,,,,
MLM792817251,used,Puebla,Puebla,45000.0,MXN,Usado,,,,,,500 cc,Kawasaki,,,,20000 km,Ninja 500R,,,2006,,,.,,,,,,,,,,,,,
MLM790441672,used,Jalisco,Zapopan,169500.0,MXN,Usado,3827 mm,5,106 hp,Delantera,Sí,1598 cc,Nissan,5,1.6,Gasolina,26300 km,March,Manual,1.6 Sr Navi Mt,2018,,,,,,,,,,,,,,,,
MLM810030869,used,Distrito Federal,Coyoacán,259900.0,MXN,Usado,,5,281 hp,Delantera,Sí,3.6 L,Chevrolet,5,3.6,Gasolina,42000 km,Traverse,Automática,3.6 Lt V6 7 Pas At,2014,Sí,,,,,,,,,,,,,,,
MLM790865774,used,Puebla,Puebla,129900.0,MXN,Usado,,,,Delantera,,1498 cc,Ford,4,,Gasolina,42000 km,Figo,Manual,1.5 Impulse Sedan Mt,2016,,,,,,,,,,,,,,,,
MLM800631371,used,Jalisco,Zapopan,275000.0,MXN,Usado,4275 mm,5,148 hp,Delantera,Sí,1998 cc,Mazda,5,2.0,Gasolina,42000 km,CX-3,Automática,2.0 I Grand Touring At,2017,,,,,,,,,,,,,,,,
MLM803011216,used,Puebla,Puebla,215000.0,MXN,Usado,,5,160 hp,Delantera,Sí,2 L,Ford,5,2.0,Gasolina,50000 km,Focus,Automática,2.0 Titanium At,2015,,,,,,,,,,,,,,,,
MLM789334587,used,Jalisco,Zapopan,189500.0,MXN,Usado,,,,,,,Suzuki,5,,Gasolina,60000 km,Ignis,,Automático,2018,,,,,,,,,,,,,,,,
MLM806683438,used,Puebla,Puebla,135000.0,MXN,Usado,,5,,Delantera,Sí,2.4 L,Dodge,5,2.4,Gasolina,85000 km,Journey,Automática,2.4 Se Ee At,2010,,,,,,,,,,,,,,,,
MLM813550974,used,Puebla,Puebla,299900.0,MXN,Usado,,4,,4x2,Sí,5.7 L,Dodge,4,5.7,Gasolina,80000 km,Ram 2500,Manual,5.7 Pickup Crew Cab Laramie 4x2 Mt,2012,,,,,,,,,,,,,,,,
MLM807462822,used,Puebla,Puebla,549900.0,MXN,Usado,4822 mm,5,290 hp,4x2,Sí,3604 cc,Jeep,5,3.7,Gasolina,41000 km,Grand Cherokee,Automática,3.7 Limited 3.6 4x2 At,2018,,,,,,,,,,,,,,,,
MLM808301489,used,Puebla,Puebla,219900.0,MXN,Usado,5126 mm,5,,4x4,Sí,3.6 L,Buick,5,3.6,Diésel,69000 km,Enclave,Automática,3.6 Paq D At,2012,,,,,,,,,,,,,,,,
MLM794976314,used,Puebla,Puebla,650000.0,MXN,Usado,4669 mm,2,400 hp,Trasera,Sí,2997 cc,Infiniti,2,3.0,Gasolina,17000 km,Q60,Automática,3.0 400 Sport At,2017,,,,,,,,,,,,,,,,
MLM812843764,used,Distrito Federal,Coyoacán,129900.0,MXN,Usado,,,,,,800 cc,BMW,,2 tiempos,Gasolina,49000 km,F 850 Gs,,,2010,,BMW,Doble propósito,,,,,,,,,,,,,
MLM789331034,used,Jalisco,Zapopan,114500.0,MXN,Usado,,,,,,,Hyundai,5,,Eléctrico,113934 km,i10,,1.2 gls hactback,2015,,,,,,,,,,,,,,,,
MLM792446558,used,Jalisco,Zapopan,254500.0,MXN,Usado,,,,,,,Ford,4,,Gasolina,102000 km,F-150,,4x4 Doble cabina,2011,,,,,,,,,,,,,,,,
MLM803018978,used,Distrito Federal,Tlalpan,199900.0,MXN,Usado,4455 mm,4,118 hp,Delantera,Sí,1497 cc,Honda,4,1.5,Gasolina,47000 km,City,Automática,1.5 Ex At Cvt,2017,,,,,,,,,,,,,,,,
MLM812947109,used,Distrito Federal,Coyoacán,126900.0,MXN,Usado,,,,Trasera,Sí,0.9 L,Smart,2,0.9,Gasolina,38000 km,Fortwo,Manual,Coupe Black & White Mt,2013,Sí,,,,,,,,,,,,,,,
MLM813790468,used,Hidalgo,Pachuca De Soto,129000.0,MXN,Usado,,3,,Delantera,Sí,1.4 L,Fiat,3,1.4,Gasolina,50000 km,500,Manual,1.4 3p Trendy L4 Man Mt,2015,,,,,,,,,,,,,,,,
MLM803103886,used,Distrito Federal,Tlalpan,94900.0,MXN,Usado,4030 mm,5,,Delantera,Sí,1.6 L,Peugeot,5,1.6,Gasolina,96000 km,207,Manual,1.6 5p Allure Mt,2012,,,,,,,,,,,,,,,,
MLM810091924,used,Puebla,Puebla,219900.0,MXN,Usado,4759 mm,5,,4x2,Sí,4.7 L,Jeep,5,4.7,Gasolina,90000 km,Grand Cherokee,Manual,4.7 Limited V8 4x2 Mt,2011,,,,,,,,,,,,,,,,
MLM801996801,used,Puebla,Puebla,239900.0,MXN,Usado,4624 mm,5,,4x2,Sí,2.4 L,Jeep,5,2.4,Gasolina,52000 km,Cherokee,Manual,2.4 Limited Mt,2014,,,,,,,,,,,,,,,,
MLM803551421,used,Distrito Federal,Benito Juárez,125000.0,MXN,Usado,4091 mm,5,,Delantera,Sí,1.6 L,Renault,5,1.6,Gasolina,48000 km,Stepway,Manual,1.6 Dynamique Mt,2015,,,,,,,,,,,,,,,,
MLM802929259,used,Puebla,Puebla,179900.0,MXN,Usado,4652 mm,5,115 hp,Delantera,Sí,1984 cc,Volkswagen,4,2.0,Gasolina,52000 km,Jetta,Manual,2.0 L4 Mt 115 hp,2016,,,,,,,,,,,,,,,,
MLM808398181,used,Jalisco,Zapopan,98500.0,MXN,Usado,,,,,,,Chevrolet,3,,Gasolina,136000 km,S-10,,Automática 4cil,1998,,,,,,,,,,,,,,,,
MLM804480895,used,Distrito Federal,Tlalpan,294900.0,MXN,Usado,,,,,,,BMW,4,,Gasolina,40000 km,Serie 3,,2.0 320ia Aut,2015,,,,,,,,,,,,,,,,
MLM793977100,used,Puebla,Puebla,199900.0,MXN,Usado,4666 mm,4,153 hp,Delantera,Sí,1399 cc,Chevrolet,4,1.4,Gasolina,38000 km,Cruze,Manual,1.4 Ls Mt,2017,,,,,,,,,,,,,,,,
MLM791647391,used,Jalisco,Zapopan,145000.0,MXN,Usado,4384 mm,5,140 hp,Delantera,,2 L,Volkswagen,4,2.0,Diésel,75000 km,Vento,Automática,2.0 Highline At,2015,,,,,,,,,,,,,,,,
MLM812126865,used,Distrito Federal,Benito Juárez,112000.0,MXN,Usado,,,,,,,Ford,5,,Gasolina,115000 km,Ecosport,,XLT Estandar,2011,,,,,,,,,,,,,,,,
MLM772139872,used,Puebla,Puebla,159900.0,MXN,Usado,,,,Delantera,,1498 cc,Ford,4,,Gasolina,32000 km,Figo,Automática,1.5 Titanium Sedan At,2017,,,,,,,,,,,,,,,,
MLM811921219,used,Distrito Federal,Coyoacán,589900.0,MXN,Usado,4783 mm,2,335 hp,Trasera,Sí,3640 cc,Chevrolet,2,3.6,Gasolina,13000 km,Camaro,Automática,3.6 Rs V6 At,2019,Sí,,,,,,,,,,,,,,,
MLM803038600,used,Puebla,Puebla,89900.0,MXN,Usado,,,,,,,Chevrolet,3,,Gasolina,90000 km,Tornado,,Equipada 2009,2009,,,,,,,,,,,,,,,,
MLM813458513,used,Distrito Federal,Coyoacán,239900.0,MXN,Usado,4590 mm,,,Delantera,Sí,1.6 L,Mercedes-Benz,2,1.6,Gasolina,48000 km,Clase C,Automática,1.6 180 Cgi Coupe At,2013,Sí,,,,,,,,,,,,,,,
MLM811943416,used,Distrito Federal,Coyoacán,459900.0,MXN,Usado,4672 mm,5,171 hp,Trasera,Sí,2488 cc,Renault,5,2.5,Gasolina,3000 km,Koleos,Automática,2.5 Iconic Cvt,2020,Sí,,,,,,,,,,,,,,,
MLM806593548,used,Puebla,Puebla,145000.0,MXN,Usado,3995 mm,,,Delantera,Sí,1.6 L,Renault,2,1.6,Gasolina,64000 km,Kangoo,Manual,1.6 Aa Mt,2015,,,,,,,,,,,,,,,,
MLM812936230,used,Puebla,Puebla,119900.0,MXN,Usado,3675 mm,5,81 hp,Delantera,Sí,1206 cc,Chevrolet,5,1.3,Gasolina,38000 km,Beat,Manual,1.3 Ls Mt,2018,,,,,,,,,,,,,,,,
MLM808765070,used,Distrito Federal,Tlalpan,244900.0,MXN,Usado,,2,,Trasera,Sí,3.6 L,Chevrolet,2,3.6,Gasolina,109000 km,Camaro,Automática,Lt V6 At,2012,,,,,,,,,,,,,,,,
MLM802000133,used,Puebla,Puebla,189900.0,MXN,Usado,4365 mm,5,,Delantera,Sí,1.6 L,Peugeot,5,1.6,Gasolina,52000 km,3008,Manual,1.6 Féline Mt,2015,,,,,,,,,,,,,,,,
MLM802428835,used,Puebla,Puebla,149900.0,MXN,Usado,,,,Trasera,,3.7 L,Volkswagen,5,,Gasolina,69000 km,Routan,Automática,3.7 Prestige Tiptronic Paq Joybox At,2009,,,,,,,,,,,,,,,,
MLM799762222,used,Puebla,Puebla,155000.0,MXN,Usado,,,,,,,Volkswagen,4,,Gasolina,70000 km,Jetta,,Comfortline 2012 Mt,2012,,,,,,,,,,,,,,,,
MLM800122437,used,Jalisco,Zapopan,310000.0,MXN,Usado,,2,230 hp,4x4,Sí,2 L,Audi,2,2.0,Gasolina,45000 km,A5,Automática,2.0 S Line Turbo S Tronic Quattro Dsg,2013,,,,,,,,,,,,,,,,
MLM804287288,used,Puebla,Puebla,205000.0,MXN,Usado,4384 mm,4,121 hp,Delantera,Sí,1591 cc,Kia,4,1.6,Gasolina,32000 km,Rio,Automática,1.6 Lx Sedan At,2018,,,,,,,,,,,,,,,,
MLM804610082,used,Distrito Federal,Benito Juárez,169000.0,MXN,Usado,,5,,4x2,Sí,2 L,Jeep,5,2.0,Gasolina,68000 km,Patriot,Automática,Limited Qc 4x2 Cvt,2012,,,,,,,,,,,,,,,,
MLM803018949,used,Distrito Federal,Tlalpan,249900.0,MXN,Usado,4624 mm,4,,Trasera,Sí,2 L,BMW,4,2.0,Gasolina,68000 km,Serie 3,Automática,2.0 320ia Sport Line At,2014,,,,,,,,,,,,,,,,
MLM803015359,used,Distrito Federal,Tlalpan,204900.0,MXN,Usado,,5,,4x2,Sí,5.4 L,Lincoln,5,5.4,Gasolina,139000 km,Navigator,Automática,Vagoneta Ultime 4x2 At,2011,,,,,,,,,,,,,,,,
MLM803018943,used,Distrito Federal,Tlalpan,259900.0,MXN,Usado,4580 mm,5,188 hp,Delantera,Sí,2488 cc,Mazda,4,2.5,Gasolina,68000 km,Mazda 3,Automática,2.5 S Grand Touring Sedan At,2018,,,,,,,,,,,,,,,,
MLM813839431,used,Puebla,Puebla,575000.0,MXN,Usado,5293 mm,5,380 hp,4x4,Sí,3496 cc,Lincoln,5,3.5,Gasolina,31000 km,Navigator,Automática,3.5 Reserve At,2016,,,,,,,,,,,,,,,,
MLM813555244,used,Puebla,Puebla,289900.0,MXN,Usado,,5,,4x4,Sí,2 L,BMW,5,2.0,Gasolina,70000 km,X3,Automática,2.0 Xdrive 28i Top Line . At,2014,,,,,,,,,,,,,,,,
